Experiment,Parameter,Projections,Phantom,Avg time (s)
InternalARM,5,10,phantom_2,8.280461382865905
InternalARM,5,10,phantom_3,8.676990723609924
InternalARM,5,10,phantom_4,9.036006879806518
InternalARM,5,25,phantom_1,9.668769812583923
InternalARM,5,25,phantom_2,10.329449319839478
InternalARM,5,25,phantom_3,10.833965587615968
InternalARM,5,25,phantom_4,11.045778155326843
InternalARM,10,10,phantom_1,10.851445269584655
InternalARM,10,10,phantom_2,11.612268137931824
InternalARM,10,10,phantom_3,12.538310384750366
InternalARM,10,10,phantom_4,12.343841981887817
InternalARM,10,25,phantom_1,12.879468417167663
InternalARM,10,25,phantom_2,13.630569124221802
InternalARM,10,25,phantom_3,14.712572860717774
InternalARM,10,25,phantom_4,14.324956107139588
InternalARM,20,10,phantom_1,17.2337965965271
InternalARM,20,10,phantom_2,18.166790699958803
InternalARM,20,10,phantom_3,20.14212727546692
InternalARM,20,10,phantom_4,18.99518175125122
InternalARM,20,25,phantom_1,19.27772686481476
InternalARM,20,25,phantom_2,20.235809397697448
InternalARM,20,25,phantom_3,22.756389760971068
InternalARM,20,25,phantom_4,20.96168155670166
sart_relaxation,0.1,10,phantom_1,6.335492014884949
sart_relaxation,0.1,10,phantom_2,6.978627467155457
sart_relaxation,0.1,10,phantom_3,6.752508163452148
sart_relaxation,0.1,10,phantom_4,7.639100074768066
sart_relaxation,0.1,25,phantom_1,8.39530029296875
sart_relaxation,0.1,25,phantom_2,9.008569836616516
sart_relaxation,0.1,25,phantom_3,8.820824337005615
sart_relaxation,0.1,25,phantom_4,9.671558499336243
sart_relaxation,0.5,10,phantom_1,6.3144182682037355
sart_relaxation,0.5,10,phantom_2,6.932286882400513
sart_relaxation,0.5,10,phantom_3,7.152874636650085
sart_relaxation,0.5,10,phantom_4,7.745212459564209
sart_relaxation,0.5,25,phantom_1,8.369808435440063
sart_relaxation,0.5,25,phantom_2,9.020479583740235
sart_relaxation,0.5,25,phantom_3,9.186687231063843
sart_relaxation,0.5,25,phantom_4,9.732348537445068
sart_relaxation,1.0,10,phantom_1,6.3171069622039795
sart_relaxation,1.0,10,phantom_2,6.9556461572647095
sart_relaxation,1.0,10,phantom_3,7.136828994750976
sart_relaxation,1.0,10,phantom_4,7.703620719909668
sart_relaxation,1.0,25,phantom_1,8.370585227012635
sart_relaxation,1.0,25,phantom_2,9.001161241531372
sart_relaxation,1.0,25,phantom_3,9.257152104377747
sart_relaxation,1.0,25,phantom_4,9.719548654556274
sart_relaxation,1.5,10,phantom_1,6.325893259048462
sart_relaxation,1.5,10,phantom_2,6.972698998451233
sart_relaxation,1.5,10,phantom_3,7.23002245426178
sart_relaxation,1.5,10,phantom_4,7.697557258605957
sart_relaxation,1.5,25,phantom_1,8.370801520347595
sart_relaxation,1.5,25,phantom_2,8.999118113517762
sart_relaxation,1.5,25,phantom_3,9.27358386516571
sart_relaxation,1.5,25,phantom_4,9.673674416542053
sart_relaxation,2.0,10,phantom_1,6.311307072639465
sart_relaxation,2.0,10,phantom_2,6.970164179801941
sart_relaxation,2.0,10,phantom_3,7.194060349464417
sart_relaxation,2.0,10,phantom_4,7.651273512840271
sart_relaxation,2.0,25,phantom_1,8.383889889717102
sart_relaxation,2.0,25,phantom_2,9.028190684318542
sart_relaxation,2.0,25,phantom_3,9.340429544448853
sart_relaxation,2.0,25,phantom_4,9.683530688285828
